"Hobby","Variable","Weight"
"Cooking and Baking","Gender..male.",3.8
"Cooking and Baking","Gender..female.",9.5
"Cooking and Baking","Age",7.3
"Cooking and Baking","Education.Level",6
"Cooking and Baking","Student.Status",1.6
"Cooking and Baking","Employment.Status",1.6
"Cooking and Baking","Occupation.Type",0.7
"Cooking and Baking","Income.Level",8.7
"Cooking and Baking","Living.Situation",6.1
"Cooking and Baking","Relationship.Status",7.1
"Cooking and Baking","Parental.Status",0.3
"Cooking and Baking","Urban.Environment",9.7
"Cooking and Baking","Rural.Environment",8.3
"Cooking and Baking","Suburban.Environment",2.2
"Cooking and Baking","Region..Geography.",1.9
"Cooking and Baking","Cultural.Ethnic.Background",1.9
"Cooking and Baking","Religious.Beliefs",3.1
"Cooking and Baking","Physical.Health.Status",5.3
"Cooking and Baking","Disability.Status",4.4
"Cooking and Baking","Mental.Health.Condition",3
"Cooking and Baking","Body.Image.Self.Consciousness",6.2
"Cooking and Baking","Language.Fluency",1.5
"Cooking and Baking","Generation.Identity",3
"Cooking and Baking","Parental.Encouragement",3.7
"Cooking and Baking","Family.Tradition",4.6
"Cooking and Baking","Peer.Economic.Status",7.9
"Cooking and Baking","Financial.Independence",2.1
"Cooking and Baking","Living.Expenses",5.2
"Cooking and Baking","Student.Loan.Burden",6
"Cooking and Baking","Rent.Burden",0.6
"Cooking and Baking","Openness.to.Experience",6.1
"Cooking and Baking","Conscientiousness",1.8
"Cooking and Baking","Extraversion",0.7
"Cooking and Baking","Introversion",9.5
"Cooking and Baking","Agreeableness",9.7
"Cooking and Baking","Neuroticism",8.1
"Cooking and Baking","Sensation.Seeking",3.1
"Cooking and Baking","Need.for.Novelty",1.1
"Cooking and Baking","Competitiveness",6.9
"Cooking and Baking","Creativity..Trait.",4.5
"Cooking and Baking","Curiosity",1.3
"Cooking and Baking","Patience",5
"Cooking and Baking","Attention.Span",0.4
"Cooking and Baking","Detail.Orientedness",9.1
"Cooking and Baking","Impulsivity",2.7
"Cooking and Baking","Self.Discipline",6.7
"Cooking and Baking","Self.Esteem",3.2
"Cooking and Baking","Shyness",5.2
"Cooking and Baking","Independence",5.5
"Cooking and Baking","Empathy",1.9
"Cooking and Baking","Analytical.Thinking",9.7
"Cooking and Baking","Playfulness",7.8
"Cooking and Baking","Workaholic.Attitude",9.4
"Cooking and Baking","Thrill.Seeking",9
"Cooking and Baking","Flexibility..Cognitive.",6
"Cooking and Baking","Perfectionism",9.2
"Cooking and Baking","Flow.Proneness",1
"Cooking and Baking","Optimism",2
"Cooking and Baking","Resilience",0.5
"Cooking and Baking","Assertiveness",3.3
"Cooking and Baking","Intrinsic.Motivation",3.9
"Cooking and Baking","Extrinsic.Motivation",2.8
"Cooking and Baking","Achievement.Drive",8.3
"Cooking and Baking","Desire.for.Recognition",3.6
"Cooking and Baking","Desire.for.Mastery",2.9
"Cooking and Baking","Desire.for.Relaxation",5.5
"Cooking and Baking","Social.Connection.Need",1.5
"Cooking and Baking","Creative.Expression.Need",8
"Cooking and Baking","Escapism",0.8
"Cooking and Baking","Boredom.Avoidance",9.9
"Cooking and Baking","Health.Consciousness",7.7
"Cooking and Baking","Personal.Growth",2.1
"Cooking and Baking","Identity.Expression",0.2
"Cooking and Baking","Fun.Orientation",8.2
"Cooking and Baking","Altruism",7.1
"Cooking and Baking","Therapeutic.Need",7.3
"Cooking and Baking","Habit.Strength",7.7
"Cooking and Baking","Peer.Approval",0.8
"Cooking and Baking","Obligation.Commitment",3.6
"Cooking and Baking","Curiosity.Driven.Exploration",1.2
"Cooking and Baking","Challenge.Seeking",8.6
"Cooking and Baking","Fear.of.Missing.Out",6.3
"Cooking and Baking","Self.Efficacy",3.4
"Cooking and Baking","Desire.for.Prestige",0.7
"Cooking and Baking","Perceived.Time.Value",3.2
"Cooking and Baking","Desire.for.Autonomy",3.3
"Cooking and Baking","Desire.for.Belonging",7.3
"Cooking and Baking","Desire.for.Exploration",6.4
"Cooking and Baking","Value.Congruence",8.9
"Cooking and Baking","Need.for.Feedback",4.8
"Cooking and Baking","Peer.Influence",1.3
"Cooking and Baking","Friends..Participation",7.2
"Cooking and Baking","Family.Support",7.6
"Cooking and Baking","Partner.Support",5.7
"Cooking and Baking","Social.Norms",7.7
"Cooking and Baking","Peer.Competition",5
"Cooking and Baking","Mentorship.Presence",5.3
"Cooking and Baking","Role.Models",4.3
"Cooking and Baking","Club.Group.Access",0.4
"Cooking and Baking","Sense.of.Community",1.2
"Cooking and Baking","Inclusivity.of.Community",0.4
"Cooking and Baking","Social.Recognition",6.4
"Cooking and Baking","Social.Media.Trends",3.2
"Cooking and Baking","Celebrity.Endorsement",5.1
"Cooking and Baking","Cultural.Stigma",9.1
"Cooking and Baking","Networking.Opportunities",2.6
"Cooking and Baking","Team.Dynamics",4.2
"Cooking and Baking","Event.Frequency",7.6
"Cooking and Baking","Friends..Judgment",2.4
"Cooking and Baking","Preferred.Group.Size",0.9
"Cooking and Baking","Time.with.Family",3
"Cooking and Baking","Age.of.Peers",1.7
"Cooking and Baking","Representation.in.Media",9.3
"Cooking and Baking","Workplace.Culture",8.1
"Cooking and Baking","School.Culture",6.4
"Cooking and Baking","Hobby.Popularity.in.Area",8.7
"Cooking and Baking","Encouragement.from.Others",8.1
"Cooking and Baking","Gift.Culture",1.9
"Cooking and Baking","Family.Hobby.Culture",8.9
"Cooking and Baking","Cultural.Tradition",5.4
"Cooking and Baking","Access.to.Facilities",8.1
"Cooking and Baking","Home.Space.Availability",9
"Cooking and Baking","Environmental.Proximity",3.2
"Cooking and Baking","Climate.Suitability",1.2
"Cooking and Baking","Urban.Infrastructure",2.4
"Cooking and Baking","Neighborhood.Safety",4.3
"Cooking and Baking","Local.Classes",8.2
"Cooking and Baking","Internet.Access",8.6
"Cooking and Baking","Free.Time",0.2
"Cooking and Baking","Schedule.Flexibility",5.2
"Cooking and Baking","Transportation.Access",4.2
"Cooking and Baking","Noise.Constraints",2.3
"Cooking and Baking","Light.Pollution",1.3
"Cooking and Baking","Air.Quality",3.4
"Cooking and Baking","Cost.of.Local.Access",9.4
"Cooking and Baking","Rental.Options",3.3
"Cooking and Baking","Supply.Store.Access",5.2
"Cooking and Baking","Resource.Competition",7.1
"Cooking and Baking","Supportive.Employer",3.7
"Cooking and Baking","Legal.Barriers",9.7
"Cooking and Baking","Public.Health.Concern",9.6
"Cooking and Baking","Home.Supportiveness",2.6
"Cooking and Baking","Workload",5
"Cooking and Baking","Relocation.Frequency",3.1
"Cooking and Baking","Insurance.Availability",2.9
"Cooking and Baking","Physical.Risk.Level",0.5
"Cooking and Baking","Weather.Conditions",6.1
"Cooking and Baking","Accessibility.for.Disabilities",5.1
"Cooking and Baking","COVID.Impact",0.6
"Cooking and Baking","Commuting.Distance",2.9
"Cooking and Baking","Disposable.Income",9.1
"Cooking and Baking","Startup.Costs",2.5
"Cooking and Baking","Ongoing.Costs",1.5
"Cooking and Baking","Ability.to.Monetize",4.9
"Cooking and Baking","Perceived.Value",9.9
"Cooking and Baking","Opportunity.Cost",2.5
"Cooking and Baking","Work.Hours",6.8
"Cooking and Baking","Job.Demands",7.6
"Cooking and Baking","Financial.Stress",2.5
"Cooking and Baking","Socioeconomic.Status",7.3
"Cooking and Baking","Parental.Financial.Support",3.7
"Cooking and Baking","Frugality.Mindset",6.4
"Cooking and Baking","Access.to.Credit",6.4
"Cooking and Baking","Economic.Climate",5.4
"Cooking and Baking","Used.Gear.Market",1
"Cooking and Baking","Resale.Value",8.4
"Cooking and Baking","Living.Cost.Burden",3.3
"Cooking and Baking","Transportation.Cost",1.9
"Cooking and Baking","Marketplace.Strength",0.5
"Cooking and Baking","Recession.Sensitivity",5.9
"Cooking and Baking","Equipment.Quality",6.8
"Cooking and Baking","Free.Alternatives",0.3
"Cooking and Baking","Scholarship.Availability",5.2
"Cooking and Baking","Workplace.Perks",2.3
"Cooking and Baking","Debt.Burden",6.5
"Cooking and Baking","Class.Based.Identity",1.8
"Cooking and Baking","Hobby.Affordability",6.9
"Cooking and Baking","Hobby.Elitism",3.9
"Cooking and Baking","Low.Cost.Hacks",9.4
"Cooking and Baking","Hobby.Inflation.Risk",1.5
"Cooking and Baking","Physical.Strength",3.5
"Cooking and Baking","Flexibility",1.2
"Cooking and Baking","Hand.Eye.Coordination",9.3
"Cooking and Baking","Fine.Motor.Skills",8.8
"Cooking and Baking","Artistic.Talent",2.7
"Cooking and Baking","Musical.Ability",6.6
"Cooking and Baking","Strategic.Thinking",8.2
"Cooking and Baking","Logical.Reasoning",5.6
"Cooking and Baking","Public.Speaking",5.3
"Cooking and Baking","Writing.Skill",2.5
"Cooking and Baking","Technical.Skill",1
"Cooking and Baking","Cooking.Skill",9
"Cooking and Baking","Subject.Knowledge",9
"Cooking and Baking","Learning.Aptitude",6.4
"Cooking and Baking","Memory.Retention",3.5
"Cooking and Baking","Spatial.Skills",3.6
"Cooking and Baking","Creative.Fluency",7.3
"Cooking and Baking","Tolerance.for.Repetition",9
"Cooking and Baking","Singing.Ability",8.9
"Cooking and Baking","Rhythm.Sense",7.8
"Cooking and Baking","Teamwork.Skills",6.5
"Cooking and Baking","Stress.Tolerance",0.9
"Cooking and Baking","Adaptability",1.7
"Cooking and Baking","Hobby.Specific.Training",9
"Cooking and Baking","Hand.Stability",6.1
"Cooking and Baking","Focus.Consistency",0.2
"Cooking and Baking","Endurance",1.1
